content_id,product_ids,lengths
b698,['4505'],1
b6dc,"['fc9b', 'fbed', 'fc8b']",3
b6fa,"['60cd', '6162', '3ee8', '61ba', '61cb']",5
b6fe,['9684'],1
b714,"['457d', '4556', '4566', '453d']",4
bbe0,['6091'],1
bbe4,['3ec1'],1
bbe8,"['0242', '0237', '02b6', '023c', '0249', '024f']",6
bbec,"['5fb2', '5f45', '5fc4']",3
bbf8,"['3f8e', '806e', '2c44', '3ff5']",4
bbfc,['f6c6'],1
bbfe,"['0302', '02fa', '02ea']",3
bc00,['fb89'],1
bd6e,['fd95'],1
be18,['fb55'],1
be33,['2dec'],1
be38,['8b40'],1
be45,['453d'],1
be49,['8bde'],1
c010,['4329'],1
c017,['639d'],1
c01b,"['fd27', 'fd14']",2
c01d,"['60cd', '6162', '3ee8', '61ba']",4
c08c,"['6213', '61f5']",2
c08e,['6091'],1
c092,['3000'],1
c094,['4513'],1
c098,['9608'],1
c09a,['023c'],1
c0a3,['0302'],1
c0a5,['fb89'],1
c0b9,['fc7a'],1
c0e0,['fe18'],1
c0e7,['87a2'],1
c0f4,"['8842', '8853', '885b']",3
c119,['4417'],1
c11c,['63ed'],1
c130,['fd14'],1
c146,['6180'],1
57ed,['3241'],1
57f2,['2dec'],1
57f4,['0438'],1
bebf,['fb89'],1
bf2a,"['fe08', 'fe4b']",2
bf43,['8796'],1
bf5d,['8865'],1
bfd7,['fd05'],1
bff3,['f587'],1
c041,"['ee34', 'ee09', 'ed92', 'edae']",4
c066,['3f3e'],1
c069,['6091'],1
c080,['6091'],1
c1a9,['2fe9'],1
c1b5,"['44b8', '44b1', '44be']",3
c1b8,['0438'],1
c1bb,['024f'],1
cb8e,['fc8b'],1
cbb9,['fe29'],1
ccc1,['8853'],1
ccd4,['4329'],1
cce1,['84f4'],1
ccf3,['f518'],1
cd04,['ee27'],1
cd06,['62c3'],1
cd08,['6091'],1
cd1b,['31e8'],1
cd28,['0447'],1
cd3d,"['0279', '0273']",2
cd45,['fc9b'],1
cd58,['87b0'],1
cec6,['885b'],1
cef0,['4427'],1
cf12,"['e242', 'e22e', 'e2eb', 'e2d4']",4
cf16,['e175'],1
cf21,['3156'],1
cf24,['1f6f'],1
cf28,"['f51f', 'f51b', 'f504']",3
cf2a,"['e0e2', 'e20c', 'e0e8', 'e21d']",4
cf2c,['e2bd'],1
cf2e,['95ed'],1
cf30,"['f11f', 'f0e8']",2
cf32,['e242'],1
cf36,"['887e', '8865', '884a', '883a']",4
cf38,['fcac'],1
cf3a,['87aa'],1
02d4,['3156'],1
03ac,['87c2'],1
0434,['4427'],1
0437,"['b877', 'e8dd']",2
0449,"['5fb2', '5fc4', '5f45']",3
044b,['44a7'],1
ef20,['ee8c'],1
ef2d,"['94db', '3f0d']",2
ef40,['316d'],1
ef42,['0458'],1
ef5c,"['885b', '883a', '888a']",3
ef73,['4438'],1
ef79,['94cb'],1
f2c8,['9651'],1
f2ca,['87d1'],1
f31c,['4368'],1
f393,"['fd30', 'fd6a']",2
f3b5,"['e9b7', 'e9b0']",2
f3f4,['9651'],1
f7ac,"['8842', '888a', '887e', '886c', '8875']",5
f7fe,['8536'],1
f803,"['fd05', '9f1c']",2
f807,"['fe5f', 'fe71', 'fe84']",3
f80b,"['87d1', '87cb', '87de', '87d8']",4
f811,['856e'],1
f942,"['fe71', 'fe84']",2
f944,['0474'],1
f951,['87cb'],1
f957,"['8875', '886c', '884a', '887e', '885b', '8853', '883a', '8842', '888a', '8865']",10
fd84,"['fd05', 'fd1c', 'fd30']",3
fdac,"['3ec1', '62c3', '6180']",3
fdbd,"['0491', '0483', '9693']",3
fe74,"['fd1c', 'fd05']",2
fe8b,"['e9d9', 'e9d3']",2
feb3,['31fe'],1
06f6,"['ed62', 'ed65', 'ed5f']",3
06fc,['e1e7'],1
0743,"['e9d9', 'e9b7', 'e9d3', 'e9df', 'e9b0', 'e9e3', 'e9dc', 'ea3c', 'e9f5', 'ea66', 'ea59', 'ea80']",12
075d,['292f'],1
0784,"['883a', '8865', '886c', '888a', '8842']",5
0786,['ed65'],1
0c04,['ed5f'],1
0c1a,['e1e7'],1
0c52,"['e9e3', 'e9f5']",2
0c5d,['e0a5'],1
0c6a,"['883a', '887e', '884a', '8865']",4
4334,"['848d', 'fd05', '84f4']",3
4336,['e1e7'],1
4338,"['ea4c', 'ea3f']",2
433a,['1fa2'],1
433c,"['886c', '8875', '883a']",3
433e,['e1cb'],1
4340,"['ea4c', 'ea3f']",2
4342,['1f9b'],1
4344,['8853'],1
4348,['e1e7'],1
47ab,"['ea59', 'ea66']",2
47ad,['1f61'],1
47af,['8853'],1
47b1,['e1e7'],1
47c2,"['ea4c', 'ea3f']",2
47c4,['9693'],1
47c8,['e167'],1
47d0,['0483'],1
47d4,"['8865', '885b']",2
480d,['1f72'],1
bf8c,"['897a', '8865', '885b']",3
bf95,['b7dd'],1
bfa7,"['e0df', 'e0d9', 'e0d6', '1f81']",4
bfab,['885b'],1
bfad,"['bd50', 'b7c2', 'bd4a']",3
bfaf,['f55d'],1
bfb1,['1f58'],1
bfb7,"['885b', '897a']",2
bfb9,['b7c2'],1
bfbd,['f615'],1
c4a4,['96b3'],1
c6c9,['885b'],1
c6cb,['dde8'],1
c6d0,['9cf0'],1
c6d3,['9959'],1
c6d9,['2e47'],1
c6db,['9ce4'],1
c6e6,"['9d1a', '9cf3', '9d1d', '9d14', '9d26', '9cf0']",6
c6eb,['1f49'],1
c9b0,"['9d1d', '9cf0']",2
c9b6,['e1e7'],1
c9d0,['f670'],1
c9d3,['9cf0'],1
c9e9,"['8972', '8896', '885b']",3
ca0d,"['9d14', '9cf0', '9d53', '9d4c', '9d1d', '9d49', '9d26', '9d4f', '9d1a']",9
ca0f,['885b'],1
cdaf,['4438'],1
cdc9,['9d1d'],1
cdfc,['8865'],1
ce12,"['4c12', '4c05', '4d77', '4782', '4c2c', '478f', '4bf8', '4c1f', '474e', '4c7a', '479c']",11
ce1b,['4427'],1
ce23,['dde8'],1
ce25,"['885b', '8865']",2
ce27,['9cf0'],1
d1dd,['8865'],1
d1ec,"['9d14', '9d53', '9d4f', '9cf0', '9d49', '9d1d', '9d4c', '9d26', '9cf3', '9d1a']",10
d1f9,"['5dbc', '8084', '5e03', '3f8e']",4
d228,"['f31c', 'f2ad', 'f447', 'f5b1', 'f34b', 'f4dd']",6
d22a,['3156'],1
d246,['e0a5'],1
d256,['8b9a'],1
d258,['8865'],1
d25b,['9c86'],1
d25d,"['de0a', 'ddf7', 'ddc7', 'de5d']",4
d931,['f587'],1
d934,['8be6'],1
d937,"['ed4a', 'ed4d']",2
4012,['1f61'],1
4089,"['4cd7', '4de1', '4d02', '4d0f', '4768', '4775', '4c6d', '4d36']",8
40d1,"['8865', '888a']",2
414a,"['9cf3', '9cf6', '9cf9']",3
415b,"['9c86', '9bcd', '9c1a', '9c65', '9c7b', '9ba7', '9b9c', '9b91']",8
4166,['f587'],1
419c,"['0662', '02f7', '032b', '0689', '0657', '060d']",6
4694,['9971'],1
46ae,['01cc'],1
46dd,"['f51f', 'f518', 'f51b', 'f504']",4
46e3,"['9cf0', '9cf3']",2
46e9,"['9956', '9989', 'e0dc']",3
46f4,"['f38e', 'f09e', 'f00b', 'efc7', 'f425', 'ef15', 'f284', 'f435', 'effe']",9
4706,"['8972', 'b7e3', '8865', '6b23', '6fac', 'c554', '59a7', 'f562', '68b2', '22ad']",10
4714,"['049f', '0628', '0662', '0500', '06d1', '02f7', '0673']",7
afad,['9c65'],1
afb0,['8bc3'],1
afb5,"['e9b7', '9432']",2
afcb,['ddd7'],1
afd2,['1f75'],1
afd6,['f018'],1
