id,name,keywords
93d0,Moisturising Cream | Shea Butter & Vitamin E,"['cream', 'moisturising', 'shea', 'butter', 'vitamin e', 'men', 'skin', 'care', 'grooming', 'the', 'man', 'company', 'boy', 'gent', 'travel', 'rough', 'winter', 'weather', 'soft', 'hydrating', 'refershing', 'cheek', 'cheeks', 'protection', 'glow', 'healthy', 'radiance', 'protect', 'school', 'college', 'party', 'office', 'meeting', 'meetings', 'shaadi', 'trip', 'function', 'gloss', 'glossy', 'long', 'lasting', 'trendy', 'quirky', 'stylish', 'outdoor', 'event', 'casusal', 'semi', 'formal', 'type', 'formulation', 'features', 'feature', 'natural', 'ingredients', 'suitable', 'product', 'benefit', 'benefits', 'moisturising ', 'eam', 'shea', 'butter', '&', 'vitamin', 'e']"
94cb,Bold Swimsuit,"['swimsuit', 'gymwear', 'active wear', 'swimming costume', 'fitness']"
93ff,Onion Seed Hair Oil,"['oil', 'hair fall', 'growth oil', 'hair', 'onion', 'black', 'seed', 'fall', 'damage', 'nourishing', 'extracts', 'growth', 'men', 'women', 'kids', 'dandruff', 'grooming', 'care', 'hairs', 'scalp', 'follicle', 'shine', 'bounce', 'length', 'surface', 'soft', 'protection', 'healthy', 'protect', 'school', 'college', 'party', 'office', 'meeting', 'meetings', 'shaadi', 'trip', 'travel', 'function', 'gloss', 'glossy', 'long', 'lasting', 'trendy', 'quirky', 'stylish', 'outdoor', 'event', 'casual', 'semi', 'formal', 'type', 'formulation', 'features', 'feature', 'natural', 'ingredients', 'suitable', 'product', 'benefits', 'benefit', 'the', 'man', 'company', 'onion', 'seed', 'hair', 'oil']"
9548, Maroon Embroidered Shift Dress,"['one piece', 'casual', 'party', 'long dress', 'dress']"
dcfd,Grey Crop Top With Embroidered Sleeves ,"['top', 'casual wear', 'trendy', 'women wear']"
de5d,Floral Embroidered Maxi Dress - Black,"['dress', 'dresses', 'maxi dress', 'maxi', 'black dress', 'embroidered dress', 'summer dress', 'black', 'women', 'girls', 'girl', 'western', 'western wear', 'casual', 'casuals ', 'clothing', 'apparel', 'apparels', 'trendy', 'stylish', 'brand', 'vritta']"
df1a,Engy Blue Stripe Set,"['coat', 'coat pant set', 'office wear', 'formal wear', 'women formals', 'women', 'lady', 'girl', 'clothing', 'dress', 'dresses', 'wear', 'function', 'school', 'college', 'party', 'office', 'trip', 'travel', 'comfort', 'soft', 'trendy', 'quirky', 'stylish', 'bold', 'goofy', 'print', 'outdoor', 'event', 'design', 'graphic', 'plain', 'casual', 'semi', 'formal', 'fabric', 'pattern', 'engy ', 'blue', 'stripe', 'set', 'doodlage']"
f00d,Taupe Printed Dress With Tie-Up Belt ,"['one peice', ' casual wear', 'fit and flare dress', 'printed dress']"
dd35,Winona Stripe Jumpsuit,"['women apparel ', 'ladies jumpsuit', 'strip jumpsuit', 'ladies casual wear', 'office wear', 'women', 'lady', 'girl', 'clothing', 'dress', 'dresses', 'wear', 'function', 'school', 'college', 'party', 'office', 'trip', 'travel', 'comfort', 'soft', 'trendy', 'quirky', 'stylish', 'bold', 'goofy', 'print', 'outdoor', 'event', 'design', 'graphic', 'plain', 'casual', 'semi', 'formal', 'fabric', 'pattern', 'jumpsuit', 'winona', 'stripe', 'grey', 'sleeveless', 'doodlage']"
dd50,Brave Red Tank Top ,"['top', ' tops', 'active wear', 'gym wear', 'fitness']"
dd60,Brave Blue Tank Top,"['top', ' tops', 'active wear', 'gym wear', 'fitness']"
9496,Charcoal Face Wash | Ylang Ylang & Argan,"[' charcoal', 'face', 'wash', 'skin', 'care', 'grooming', 'men', 'the', 'man', 'company', 'cleanser', 'hydrate', 'cleaning', 'ylang', 'argan', 'oil', 'radient', 'fresh', 'remove', 'cheek', 'cheeks', 'soft', 'cream', 'protection', 'glow', 'healthy', 'radiance', 'protect', 'school', 'college', 'party', 'office', 'meeting', 'meetings', 'shaadi', 'trip', 'travel', 'function', 'gloss', 'glossy', 'long', 'lasting', 'trendy', 'quirky', 'stylish', 'outdoor', 'event', 'casusal', 'semi', 'formal', 'type', 'formulation', 'features', 'feature', 'natural', 'ingredients', 'suitable', 'product', 'benefit', 'benefits', 'charcoal', 'face', 'wash', 'ylang', '&', 'argan']"
947f,Transform Low Impact Sports Bra,"['gym wear', 'fitness', 'active wear', 'bra', 'sports bra', 'athleisure']"
94f4,Classic Swimsuit,"['swimsuit', ' fitness', 'active wear', 'gym wear', 'athleisure', 'swimming costume']"
950a,Sage Track,"['tracks', ' fitness', 'gym wear', ' active wear', 'athleisure']"
965f,Karma Barrette ,"['hair accessory', 'clips', 'barrette', 'hair clip', 'hair', 'accessory', 'accessories', 'clip', 'golden', 'metal']"
