,stime,flgs_e,flgs_e s,flgs_e dS,flgs_e g,flgs_e *,flgs_eU,flgs_e &,flgs_e d,flgs_e    F,flgs_e r,proto_tcp,proto_udp,proto_icmp,proto_arp,proto_ipv6-icmp,proto_rarp,proto_igmp,saddr_192.168.100.149,saddr_192.168.100.148,saddr_192.168.100.150,saddr_192.168.100.147,saddr_192.168.100.3,saddr_192.168.100.7,saddr_192.168.100.6,saddr_192.168.100.5,saddr_192.168.100.4,saddr_192.168.100.1,saddr_private,saddr_external,daddr_192.168.100.149,daddr_192.168.100.148,daddr_192.168.100.150,daddr_192.168.100.147,daddr_192.168.100.3,daddr_192.168.100.7,daddr_192.168.100.6,daddr_192.168.100.5,daddr_192.168.100.4,daddr_192.168.100.1,daddr_private,daddr_external,pkts,bytes,state_RST,state_CON,state_INT,state_FIN,state_REQ,state_URP,state_ECO,state_NRS,state_ACC,state_MAS,ltime,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,tnbpsrcip,tnbpdstip,tnp_psrcip,tnp_pdstip,tnp_perproto,tnp_per_dport,ar_p_proto_p_srcip,ar_p_proto_p_dstip,n_in_conn_p_srcip,n_in_conn_p_dstip,ar_p_proto_p_sport,ar_p_proto_p_dport,pkts_p_state_p_protocol_p_destip,pkts_p_state_p_protocol_p_srcip,attack_type
19724,1526351635.007329,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,22631,20975109,0,1,0,0,0,0,0,0,0,0,1526352732.602982,1097.595703,4.944588,0.268722,1072.975586,0.999551,4.999988,22631,0,20975109,0,20.617792,20.617792,0.0,9382230793,9383605539,9733681,9746137,11220924,13108094,66.2774812,939.9656908391032,42.0,5208,47.46778558679706,100.86269728706448,2746620,2746620,0
19725,1528103191.571564,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,10,1675,1,0,0,0,0,0,0,0,0,0,1528103208.157704,16.58614,2.3e-05,4e-05,9.2e-05,0.0,9.2e-05,6,4,909,766,0.542622,0.301457,0.285365,5669920,4766661000,43720,6635464,11220924,13108094,4574.7005947427015,5274.167447059738,146.0,23401,0.542622,100.86269728706448,65132,30428,2
19726,1528095723.247673,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,308,0,0,0,0,1,0,0,0,0,0,1528095734.898114,11.650441,0.0,0.0,0.0,0.0,0.0,2,0,308,0,0.085834,0.085834,0.0,773646180,4766661000,179996,6635464,11220924,13108094,6352.892978539788,5274.167447059738,727.0,23401,0.085834,100.86269728706448,7648,1442,2
19727,1526347332.437372,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,102,0,1,0,0,0,0,0,0,0,0,1526347332.437384,1.2e-05,1.2e-05,0.0,1.2e-05,1.2e-05,1.2e-05,1,1,60,42,83333.328125,0.0,0.0,26106,8194,448,142,3085,14770,28473.82391435176,58867.90335873685,346.0,45,14913.297566487605,14913.297566487605,86,448,0
19728,1526876599.087379,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,120,1,0,0,0,0,0,0,0,0,0,1526876599.087464,8.5e-05,8.5e-05,0.0,8.5e-05,8.5e-05,8.5e-05,1,1,60,60,11764.706055,0.0,0.0,773646180,823284939,179996,52257,11220924,193,6352.892978539788,9901.705446630507,727.0,5063,25111.5290715,41709.779243777775,14111,21877,3
19729,1526880858.256336,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,120,1,0,0,0,0,0,0,0,0,0,1526880858.281876,0.02554,0.02554,0.0,0.02554,0.02554,0.02554,1,1,60,60,39.154266,0.0,0.0,826213862,4766661000,69025,6635464,11220924,2,4918.426175165419,5274.167447059738,641.0,23401,52.37126172133758,39.154266,65132,23345,4
19730,1528081321.720085,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5,770,0,0,0,0,1,0,0,0,0,0,1528081352.470978,30.750893,0.0,0.0,0.0,0.0,0.0,5,0,770,0,0.130078,0.130078,0.0,5330629,5367610,42572,32388,11220924,13108094,3908.819242947184,1254.2506490175997,120.0,6669,0.130078,100.86269728706448,12994,15429,1
19731,1528081323.271769,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4,616,0,0,0,0,1,0,0,0,0,0,1528081351.761641,28.489872,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.105301,0.105301,0.0,826213862,9383605539,69025,9746137,11220924,13108094,4918.426175165419,939.9656908391032,641.0,5208,0.1721963333333333,100.86269728706448,5805,8072,1
19732,1526881909.739962,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,120,1,0,0,0,0,0,0,0,0,0,1526881909.740069,0.000107,0.000107,0.0,0.000107,0.000107,0.000107,1,1,60,60,9345.793945,0.0,0.0,5330629,4766661000,42572,6635464,11220924,2,3908.819242947184,5274.167447059738,120.0,23401,7877.284069333334,9345.793945,65132,23301,4
19733,1526894264.914413,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,120,1,0,0,0,0,0,0,0,0,0,1526894264.914789,0.000376,0.000376,0.0,0.000376,0.000376,0.000376,1,1,60,60,2659.574463,0.0,0.0,773646180,5367610,179996,32388,11220924,16,6352.892978539788,1254.2506490175997,727.0,6669,3306.4577218000004,11703.48343525,13229,21877,3
19734,1526877416.204378,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,120,1,0,0,0,0,0,0,0,0,0,1526877416.204799,0.000421,0.000421,0.0,0.000421,0.000421,0.000421,1,1,60,60,2375.296875,0.0,0.0,5669920,9383605539,43720,9746137,11220924,18,4574.7005947427015,939.9656908391032,146.0,5208,1664.730583142857,6286.645253333333,6482,30428,3
19735,1526962943.143992,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,120,1,0,0,0,0,0,0,0,0,0,1526962943.144121,0.000129,0.000129,0.0,0.000129,0.000129,0.000129,1,1,60,60,7751.938477,0.0,0.0,826213862,4766661000,69025,6635464,11220924,16,4918.426175165419,5274.167447059738,641.0,23401,11725.15761025,12536.79614075,65132,23345,3
19736,1528081321.697486,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5,770,0,0,0,0,1,0,0,0,0,0,1528081352.386781,30.689295,0.0,0.0,0.0,0.0,0.0,5,0,770,0,0.130339,0.130339,0.0,5330629,5367610,42572,32388,11220924,13108094,3908.819242947184,1254.2506490175997,120.0,6669,0.130339,100.86269728706448,12994,15429,1
19737,1526898846.780805,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,120,1,0,0,0,0,0,0,0,0,0,1526898846.812587,0.031782,0.031782,0.0,0.031782,0.031782,0.031782,1,1,60,60,31.46435,0.0,0.0,773646180,4766661000,179996,6635464,11220924,2,6352.892978539788,5274.167447059738,727.0,23401,32.287810927652735,31.46435,65132,21877,4
19738,1526880998.233975,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,8,794,0,0,0,1,0,0,0,0,0,0,1526880998.234404,0.000429,0.000429,0.0,0.000429,0.000429,0.000429,4,4,522,272,16317.015625,6993.006836,6993.006836,5669920,4766661000,43720,6635464,11220924,594,4574.7005947427015,5274.167447059738,146.0,23401,16317.015625,16631.539741472974,10024,3249,4
19739,1528081322.782562,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5,770,0,0,0,0,1,0,0,0,0,0,1528081354.029088,31.246527,0.0,0.0,0.0,0.0,0.0,5,0,770,0,0.128014,0.128014,0.0,5669920,823284939,43720,52257,11220924,13108094,4574.7005947427015,9901.705446630507,146.0,5063,0.1176444999999999,100.86269728706448,6625,8129,1
